name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,739.17,-1.2,BULLISH,0.58,1.24
Invesco QQQ,QQQ,US Equity,708.93,-1.51,BULLISH,0.94,1.31
iShares Russell 2000,IWM,US Equity,277.6,-2.41,BULLISH,0.91,1.37
SPDR Dow Jones,DIA,US Equity,495.37,-1.08,BULLISH,0.53,1.27
Vanguard Total Market,VTI,US Equity,362.74,-1.27,BULLISH,0.59,1.05
Vanguard S&P 500,VOO,US Equity,679.44,-1.21,BULLISH,0.58,1.11
Financial Select,XLF,Sector,51.1,-0.37,BEARISH,0.49,0.9
Technology Select,XLK,Sector,176.26,-1.81,BULLISH,1.34,1.32
Energy Select,XLE,Sector,59.44,2.36,BULLISH,1.21,0.92
Health Care Select,XLV,Sector,145.1,-1.04,NEUTRAL,0.7,0.96
Industrial Select,XLI,Sector,171.4,-1.78,NEUTRAL,1.03,0.94
Consumer Disc.,XLY,Sector,116.53,-1.8,NEUTRAL,0.64,1.38
iShares Core US Agg,AGG,Bonds,98.02,-0.63,NEUTRAL,0.22,1.04
Vanguard Total Bond,BND,Bonds,72.74,-0.57,NEUTRAL,0.22,1.59
iShares 20+ Year Tr.,TLT,Bonds,83.66,-1.48,BEARISH,0.44,2.15
iShares High Yield,HYG,Bonds,79.46,-0.49,NEUTRAL,0.22,1.41
iShares Inv. Grade,LQD,Bonds,107.86,-0.64,NEUTRAL,0.28,1.9
iShares MSCI EAFE,EFA,International,101.72,-1.68,BULLISH,1.02,1.29
iShares MSCI EM,EEM,International,65.07,-3.43,BULLISH,1.47,1.37
Vanguard FTSE Dev.,VEA,International,69.08,-2.1,BULLISH,1.12,0.87
SPDR Gold,GLD,Commodity,417.29,-2.32,NEUTRAL,1.13,1.44
iShares Silver,SLV,Commodity,69.04,-8.57,BULLISH,3.01,1.9
US Oil Fund,USO,Commodity,148.23,3.66,BULLISH,3.19,0.49
ARK Innovation,ARKK,Thematic,74.9,-3.97,BULLISH,1.81,1.58
